Name,count
Grape Juice Cop,1
Enemies,1
Officer Concord,1
Bear Boy,1
Oscar,1
Baljeet Replicas,1
Enthusiast 2,1
"Gretchen, Milly, and Katie",1
Jeremy's voice,1
"Gretchen, Milly and Katie",1
Mitzy,1
Ginger and Holly,1
Man in audience 2,1
The Cast,1
Perry-Bot,1
Pet owner 7,1
Enthusiast 1,1
Inmate 3,1
Gretchen (cont'd),1
Pet owner 2,1
Ferb head #1,1
Tourist,1
Female Bureaucrat,1
Son,1
Family,1
Queen Bee,1
Fireside Bees,1
Ice cream truck man,1
Drusselstinian kids,1
The gang (including Ferb),1
Brian,1
Sisters,1
Hipster,1
Mover 2,1
"Doofenshmirtz, Vanessa, Norm",1
Mover 1,1
Jimmy's mother,1
Lawrenc,1
Girl's mother,1
Rich Guy,1
Carla,1
Man in audience 1,1
Agent E,1
Major Monogram's Voice,1
Wendel,1
Occupant 1,1
Occupant 2,1
Occupant 3,1
Occupant 4,1
Pet owner 6,1
Female Robot,1
Bug Trio,1
Theo,1
Advertisement,1
Man in audience 4,1
Agent D,1
Vannessa,1
Larry,1
All Baljeet replicas,1
Agent I,1
Agent C,1
Pet owners 4,1
Candace and Linda,1
Rest of the crew,1
Alien in Buford's body,1
Agent F,1
Butterfly,1
Guy #2,1
Guy #3,1
Inmate 2,1
Kelly Osbounre,1
Phineas (2nd Dimension),1
Lunar Landing Control,1
Bird Watcher Male,1
Bird Watcher Female,1
Inmate 1,1
Alien in Baljeet's body,1
Man in audience 3,1
Hondu,1
Phineas and kids,1
Woman in audience,1
Pinky the Chihuahuaborg,1
Ferb head #2,1
Doof zombie (pilot),1
Lindana and Max Modem,1
Danny and Bobbi,1
Doof zombie (Weatherman),1
Man in helicopter,1
Doof zombie (Don Adaded),1
The End??,1
"Phineas, Buford and Baljeet",1
Mockmacaw,1
Baljeet and Phineas,1
Yaks,1
Uncle Oslo,1
Mockmacaws,1
Mole People,1
Dancers,1
Drummer,1
Female Evil Scientist,1
Doof zombie (Melanie),1
Busty Woman,1
Male Evil Scientist,1
Bufor,1
Doof zombie (co-pilot),1
Baljeet's Mother,1
Doof zombie (Gordon Gutsofanemu),1
Doof zombie (Carl),1
Doof zombie (Major Monogram),1
Man With Glasses,1
Brad,1
Doof zombie (Ed),1
"Buford, Isabella",1
Young and Present-day Doofenshmirtz,1
Doof zombie (Shaun),1
Courtney,1
Doof zombie (Martin the News Vendor),1
Grulinda Boubenweir,1
Martin the News Vendor,1
"Doof zombie, Doof zombie (Linda) and Doof zombie (Lawrence)",1
Punk Girls,1
Fireside Girl Puppet,1
"Ferb, Candace and Stacy",1
Slack #1,1
Slack #2,1
Male tourist,1
Male Evil Scientist 2,1
Electronic Voice,1
Ferb heads,1
Ferb (cont'd),1
Captain Antilles,1
PA Announcer,1
Narrator (cont'd),1
Treadwell,1
Scroll,1
Alien 5,1
Stormtrooper 8,1
Stormtrooper 4,1
Alien 1,1
"Mitch, Alien 1",1
Stormtrooper 7,1
Vader,1
Wookiee,1
Nurse,1
Leia hologram,1
Cornelius Evazan,1
Aliens,1
Tusken Raiders,1
Ponda Baba,1
Everyone on board,1
Paisley Sideburn Brothers,1
Margaret,1
Paisley Sideburn Brothers (cont'd),1
The real Ferb,1
Adyson's Mom,1
Male Evil Scientist 3,1
The real Phineas,1
Ferb hologram,1
Stormtrooper 1,1
Polar bear (with Lawrence's voice),1
Stormtrooper 2,1
Bernie and Denise,1
Imperial Officer 1,1
Imperial Captain,1
Office Stormtrooper 3,1
Young Hick,1
Mayor's Aide,1
Hillbilly,1
Major Monogram's voice,1
Stormtrooper 3,1
Woman on TV,1
Dumpamir,1
Doof zombie (Agent G),1
Doof zombie (Agent O),1
Lawrence and Reg,1
Pinky-2,1
Wienershmirtz,1
Hench-bot,1
Rat-borg,1
Counter Guy,1
"Isabella-2, Holly-2 and Adyson-2",1
Ride Operator,1
Mover,1
Perry-2,1
Counter Guy 2,1
Sophia Sharkboard,1
Female Narrator,1
Frog,1
Agent Double 0-0,1
Bouncer,1
Pit Man,1
Captain Dirk Mortenson,1
Pool Guy,1
Passenger 1,1
Passenger 4,1
Food Truck Lady,1
Male Student 1,1
Doof zombie (Agent M),1
Pizza Manager,1
Ferb head #3,1
Professor Heathwood,1
Professor Elemental,1
Professor Furlong,1
Muscles,1
Diner 1,1
Male Student 2,1
Major Megaburns,1
Megaburns,1
DSL-4,1
Gideon,1
Phineas (cont'd),1
Fairgoer 1,1
Nature,1
Yellow insect,1
Fairgoer 2,1
Auguste Lumière,1
Louis Lumière,1
Sports Announcer #1,1
Masseuse,1
Parrot,1
Linda (cont'd),1
Clown 1,1
Vanko,1
Abdul,1
Doof zombie (Buford),1
Doof zombie (Baljeet),1
Doof zombie (Gretchen),1
Kabul,1
Eporwold,1
Doof Zombie (Pinky the Chihuahua),1
"Adyson, Ginger and Gretchen",1
Giant Floating Doofy Zombie Head (Giant Floating Baby Head),1
Girl at Bar 1,1
Doof zombies (Punk girls),1
Goon,1
Candace and Vanessa,1
Doof zombie (Lacie),1
Dr. Bringdown,1
Villain #5,1
Villain #6,1
Lawrence (cont'd),1
Female,1
Doof zombie (Agent B),1
Villain #4,1
Clown 2,1
Liam's mother,1
Young Stacy,1
Luis,1
Giant Perry,1
Title Card,1
Doof zombie (Isabella),1
Doof zombie (Phineas),1
Doof zombie (Ferb),1
Doof zombie (Vanessa),1
Stacy (cont'd),1
Dolores,1
Jeremy Dragon,1
Doof zombie (Perry),1
Man #1 (Evil Jingle Singer #2),1
Baljeet (cont'd),1
Villain #1,1
Villain #2,1
Villain #3,1
Office Stormtrooper 4,1
Unnamed goth boy,1
Butler,1
"Isabella, Baljeet, Carl, and Phineas",1
News broadcaster,1
Random guy,1
Deliver Man,1
Old Caroler,1
Burdensome elf,1
Isabella/Buford,1
Anchorman,1
Everyone but Candace,1
Candace/Baljeet/Isabella,1
Phineas/Candace,1
"Ferb, Isabella, Baljeet, Buford",1
Crowd member,1
Isabella and Ginger,1
Contestants,1
"Phineas, Ferb, Baljeet, and Isabella",1
BAD Future Candace,1
John P. Trystate,1
Phineas and Baljeet,1
The real Abernathy,1
Dr. Abernathy,1
French Maids,1
Meap's friend,1
Garbog,1
The real Linda,1
