Name,Dialog,Category
Buford,"I don't want your life story. Grab a shield, come back with it, or on it. Irving, go get some more baklava, come back with it, or on it.",Food 
Buford,"Chowdina! What happened to the magic? Did I do something wrong? It's okay, Chowdina. Even if I have to carry you back, we'll find a way.",?
Buford,"Yes! He changed my life, you know. I used to be a wimp, like you. But then, one day, at the carnival, I was somehow drawn to this game.",?
Buford,This is it! This is how Stumbleberry Finkbat ends! The Man in Really Dark Grey swings in to rescue the Freakishly Long-Necked Princess!,?
Buford,"You gotta be kiddin' me! Who looked at this idea and said, ""Yeah, that'd be fun""?! Y'see?! This is what happens when we have no intro!",?
Buford,"Ladies, I was lookin' for some makeup to prank Baljeet, but I see now we're playin' truth-or-dare. Dare me anythin'. I only do dares.",? 
Buford,"And my eyes hurt from watchin' ya do it. Hey! What if we grew a giant banana, and made a giant peeler, so we'll only hafta peel once?",Food 
Buford,"Y'know, some days you're flyin' high on a green cloud of friendship magic, while others, you're fish food in the bottom of the ocean.",Relationships 
Buford,"What gets me is, why did the Trojan War take so long? If I were Achilles, I could've taken the city of Troy, like, in one afternoon.",?
Buford,"Well, we finally got to the musical part of the story. We all decided it was high time to teach the squirrels how to be squirrels.",Info dumping 
Buford,"Argh! One day somebody's gonna ask me for some obscure musical instrument, and it ain't gonna be there. What's gonna happen then?",?
Buford,"Okay, Sleepmaster General, it's 9:29. Hand over the skin-safe nontoxic markers so I can draw on your face when you fall asleep.",?
Buford,"Hey, Baljeet! Heh heh heh...heh...I'm so happy that I found you! I worry about you, you know. Because...you're my best friend.",relationships
Buford,"Eh, I'm more of a lingonberry kind of guy. Hey, you're back. I'll take a large pie with andouille sausage and chocolate chips.",Food 
Buford,"...to string up our Christmas lights, but she always forgets to take 'em down! So, year after year, he hangs up more, until...",Info dumping 
Buford,"Has it only been three months? 'Cause I've been adding up all of the things we built this summer, and we're way over one-fif‚Äî",P and F 
Buford,"Yeah, yeah, main title, whatever. But I think I see the potential. Like, you could use them to make a giant birthday paddle.",?
Buford,"I'm just sayin', ev'rything the guy owns is black! You think maybe... What? Oh, there's somebody doin' somethin' over there.",?
Buford,"Sorry, Dr. Doothenasia. But there comes a time when you don't wanna bully everyone. You just wanna bully someone you love.",Relationships 
Buford,"Yeah! Couch! I couldn't think of the word! There's also this big metal device labeled ""vaporizer-inator"". But it's broken.",Science 
Buford,"We could tie each of you to a monster truck and drive in opposite directions. Worst-case scenario, someone loses a torso.",Relationships 
Buford,"I'll be the judge of that, step aside. This better be worth a quarter. Ooh. This is so exciting. Let me catch my breath.",Info dumping 
Buford,"Ah, no can do, Dinner Bell! It's family day, and the Van Stomms from the low countries are visiting. Buford is outie, G!",Relationships 
Buford,"Found this perfectly good robe just lying around. Has one hole, right here. Hey, look what else I just found! My hoagie!",Info dumping 
Buford,"Oh, come on! It was so obvious! She came over to your house every day for eleven years, just to see what you were doin'!",Relationships 
Buford,"Yeah, it's pretty mega, but is it really grand finale material worthy of these two guys? I just made it weird, didn't I?",P and F 
Buford,"Good job, cadets! Now, back down the tree. No, not like that! Head first! Sheesh, it's like I'm talking to myself here.",Relationships 
Buford,"And even though it was funny, I still kinda wish that the bounce house was still there. You know, for the little kids.",?
Buford,"Her loss. The Van Stomm's ""Accept a Challenge"" song has a killer bridge. It goes to an F sharp minor, in the key of G!",?
Buford,"No! Listen up, wave! You're not takin' her! For Chowdina, I'll bully the laws of nature into submission! Shame! Shame!",?
Buford,"Well, I'm no scientist, but dere's a big rectangular upholstered object... I'm gonna say mid-century modern, kinda...",?
