Name,Dialog,Topic
Buford,"(gets out a book labeled ""Baljeet Chronicles, Volume V"") All right, fine. (opens the book and puts on his reading glasses) Let's see. Tuesday, 9:00 am, Phineas and Ferb's backyard. He's late, but it's on here.",Phineas and Ferb
Buford,No girl has ever beaten Buford. Watch and learn. It takes a highly trained eye and a quick wrist to... (Isabella beats Buford at Foosball before he can even finish),Image
Buford,"Uh...wait a minute. I got an idea. (holds up a sock puppet, in high voice) Hello, folks! I'm Mr. Sock! Hey! Who turned out the lights? (Buford draws eyes on the puppet) Thanks!",Image
Buford,"Oh, yeah, it's the perfect romantic setting out there. It'll be like love kicked 'em both in the face!",Philosophy
Buford,"Stop! Knock it off! She's a semi-sentient, rubber, livin' thing! And who are we to take her life away?",Science / Inventions
Buford,"In fact, it was the ancient Tunisians who actually developed many of the techniques still used today.",Infodumping
Buford,"Yeah, who would've thought that three completely disparate elements would go together so seamlessly?",Science / Inventions
Buford,"If you diss aglets one more time, I'll fray your head so bad, it won't fit through your shirt hole!",Relationships
Buford,"You know, my horoscope said I would be riding an ox today. But I thought it was a figure of speech!",Philosophy
Buford,"A quilt?! No way! I mean, I know it's been a long summer and you guys are running out of ideas and-",Infodumping
Buford-2,"So far, I'd rather be breakin' rocks for the state. But, in all fairness, I do love breakin' stuff.",Image
Buford,"Well, why don't you ask it, Kierkegaard? (They stare) What? Existentialist Trading Cards. (Holds up a pack) It came with the gum.",Philosophy
Buford,Is that a challenge?! Because you should know that we Van Stomms never back down from a challenge.,Image
Buford,"Yeah, it's every girl's wish to have her backyard covered in litter. Let's go you two. Next event.",Infodumping
Buford,"Okay-okay! How 'bout a super-super duper-duper-duper Rollercoaster? What, too much or not enough?",Phineas and Ferb
Buford,"I don't get why this stuff is called ""sorbet""? Ain't it just a fancy people word for ""ice cream""?",Food
Buford,It's like makin' pancakes. Ya gotta make more than one to get some good ones. Duh. Dat one dere.,Food
Buford,"Well, I don't believe and therefore it's impossible. And what's more, I'll bet you can't do it!",Philosophy
Buford,My people have much to learn from your people. You must tell me how to shoot a blaster someday.,Science / Inventions
Buford,"What kind of person hands out these weird, orange peanuts? We gotta find a better neighborhood.",Food
Buford,"Whoa, dudes, what's with all the junk in your backyard? It's like an obstacle course back here!",Phineas and Ferb
Buford,"Lemme talk to her, guys. I speak sullen. (He and Candace have a conversation in mumbled gibberish.) Candace messed up and now Jeremy's birthday is ruined.",Relationships
Buford,(to id) I don't care what Freud said about your selfish need for satisfaction. You're alright with me.,Philosophy
Buford,I've been burned one too many a time. Maybe it's the universe telling me it's not meant to be.,Philosophy
Buford,What we're doin' is never gettin' the ending of Stumbleberry Finkbat! That's what we're doin'!,Relationships
Buford,"Help, my nerd is stuck in a tree! (Clicks his tongue holding up a piece of paper and a calculator) Look, it's your favorite calculator and some math problems!",Relationships
Buford,"Ta-da! I switched my body for a dummy of myself, that Ferb climbed into when you looked away.",Phineas and Ferb
Buford,"Hey, guys, I just realized somethin'! I'm the only fly in a prison full of frogs and lizards!",Philosophy
